Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
PYCR1,3.362494458,5.334054253,27.29412137,1.16E-65,1.59E-62,139.1210106
ALDH18A1,1.624941559,6.149800804,22.89033032,4.97E-55,1.13E-52,114.6160212
RCC1,1.567755514,5.210090058,20.42956885,1.25E-48,1.46E-46,99.8633653
PPP1R14B,1.97129094,6.774901804,20.25260766,3.71E-48,4.06E-46,98.79042334
PAICS,1.749423905,5.295515162,20.08399376,1.05E-47,1.07E-45,97.72787774
GOLM1,2.377384562,6.860338111,18.97960345,1.04E-44,8.53E-43,90.84557683
UBE2T,2.683551993,4.205757889,18.30436728,7.60E-43,5.20E-41,86.89814348
PPP1R14BP3,1.857272574,5.937092602,17.84269549,1.47E-41,8.93E-40,83.56547893
FAM83A,4.368435178,3.965416559,17.79039498,2.05E-41,1.21E-39,83.59159452
PDIA4,1.681990719,8.284738952,17.69012066,3.92E-41,2.26E-39,82.67631697
B3GNT3,3.417106729,4.210578127,17.66786255,4.53E-41,2.58E-39,82.83354092
EFNA4,1.893855231,4.724303144,17.45074672,1.84E-40,9.84E-39,81.21557618
ETV4,2.81887817,4.016543276,17.44515547,1.91E-40,1.01E-38,81.39410915
MANF,1.248672329,6.551348861,17.37207361,3.07E-40,1.60E-38,80.53782236
MRPL3,1.159120584,6.381202739,17.27055852,5.93E-40,3.01E-38,79.87347911
CCT3,1.36225698,7.736513199,17.26301268,6.22E-40,3.13E-38,79.88627975
CCNB1,2.621283647,4.857668115,17.20104515,9.31E-40,4.55E-38,79.51747129
ATIC,1.219313833,6.080091518,17.14683823,1.32E-39,6.42E-38,79.06247078
OCIAD2,1.941919994,6.397314833,17.04676229,2.54E-39,1.19E-37,78.41751751
CDC20,3.131183816,4.511886858,16.85844903,8.68E-39,3.77E-37,77.49655005
TOP2A,3.201646166,4.681747337,16.84740808,9.33E-39,3.99E-37,77.32044005
CTHRC1,3.549965378,5.504029219,16.81859823,1.13E-38,4.75E-37,76.91647145
P4HB,1.065808973,8.782387031,16.79549432,1.31E-38,5.40E-37,76.88428746
HMGB3,2.947064886,6.446085648,16.65540892,3.28E-38,1.31E-36,75.86116636
UBE2C,3.468901368,4.996326078,16.59786383,4.78E-38,1.88E-36,75.51819793
SLC35F2,1.785906413,4.787175156,16.52480286,7.71E-38,2.96E-36,75.14187186
SLC35B1,0.798040779,5.134847314,16.37020694,2.13E-37,7.94E-36,73.9906359
CBLC,2.508530438,4.204660993,16.18587241,7.17E-37,2.58E-35,73.21686189
EPCAM,1.480565993,8.702322284,16.17960908,7.47E-37,2.67E-35,72.83868536
PAFAH1B3,1.906910926,5.090356604,16.07284031,1.51E-36,5.30E-35,72.03914458
LGR4,2.306089487,4.345612617,15.9898857,2.61E-36,8.94E-35,71.8862194
SLC2A1,2.978839321,5.124762278,15.88928569,5.08E-36,1.72E-34,70.82023541
FLAD1,1.26965271,5.066362058,15.76704399,1.14E-35,3.81E-34,70.02293568
GORASP2,0.777623027,6.541312234,15.71102627,1.65E-35,5.45E-34,69.64018238
NPM3,1.615543531,5.7723952,15.70639751,1.70E-35,5.59E-34,69.59220275
CDCA8,2.416470931,3.848675846,15.70059451,1.77E-35,5.74E-34,70.03287577
SPP1,4.529034774,7.048604406,15.6740907,2.11E-35,6.68E-34,69.41797158
PSAT1,2.761861452,4.186179373,15.63378113,2.76E-35,8.68E-34,69.59088963
CNOT11,0.989389054,6.182194067,15.55898648,4.53E-35,1.40E-33,68.62227716
TK1,2.436974917,5.754333293,15.51422054,6.09E-35,1.86E-33,68.3174067
BIRC5,2.947067749,3.999506195,15.43445907,1.04E-34,3.10E-33,68.29916202
TFB2M,1.163652208,5.185192047,15.40404608,1.27E-34,3.75E-33,67.59543842
EIF2AK1,0.911852322,6.83825855,15.2865485,2.77E-34,7.90E-33,66.83439237
LDHA,1.355257028,8.395370763,15.17609631,5.77E-34,1.61E-32,66.17833404
ILF2,1.11356774,8.101782421,15.10479877,9.29E-34,2.49E-32,65.69085098
MDK,2.704419556,7.583434735,15.08126863,1.09E-33,2.89E-32,65.50676596
SNRPE,1.133815655,6.045886614,15.05615482,1.28E-33,3.40E-32,65.27467378
COL10A1,3.620426501,3.957252824,15.01941298,1.64E-33,4.30E-32,65.55957987
JPT2,1.040645782,6.372063369,14.99327433,1.95E-33,5.10E-32,64.86274908
ZWINT,2.18474582,4.569241687,14.95770896,2.48E-33,6.37E-32,64.92477054
JPT1,1.544794364,6.629725477,14.95060036,2.60E-33,6.65E-32,64.58708673
GMPPA,0.823847295,4.730483743,14.94329777,2.73E-33,6.95E-32,64.71437399
HSPD1,1.24526498,6.785226866,14.8759389,4.27E-33,1.06E-31,64.09566824
MMP11,3.845442431,4.066682607,14.8682979,4.50E-33,1.10E-31,64.55091345
TPX2,2.93383201,4.448961129,14.86537102,4.59E-33,1.12E-31,64.38762211
BZW2,1.31515369,5.733748779,14.83661519,5.56E-33,1.34E-31,63.80506723
ANLN,2.694337582,3.546149348,14.79924076,7.13E-33,1.71E-31,64.00411555
CCT5,1.273495272,6.525405693,14.71552805,1.25E-32,2.97E-31,63.01346821
PLPP2,2.273334688,4.399562658,14.69916232,1.39E-32,3.29E-31,63.30891765
PRDX4,1.466089268,7.330935846,14.54913835,3.80E-32,8.46E-31,61.93974775
CCNB2,2.341998407,3.690405867,14.51486939,4.78E-32,1.06E-30,62.18776229
GAPDH,1.638318088,10.15745448,14.47552178,6.22E-32,1.35E-30,61.58227004
LRRC59,0.970954257,6.712144251,14.47067116,6.42E-32,1.39E-30,61.38366278
ENO1,1.220117678,9.814813117,14.42404978,8.78E-32,1.89E-30,61.22332084
HMGA1,2.140648964,7.685483097,14.41860131,9.10E-32,1.95E-30,61.08680708
FAM136A,1.057373327,5.204504996,14.37011366,1.26E-31,2.65E-30,60.69381447
CEP55,2.482589608,3.623456801,14.33479517,1.60E-31,3.35E-30,60.97787434
SLC50A1,1.495318437,6.540635033,14.3123529,1.86E-31,3.86E-30,60.31661761
CSTF2,0.94690139,4.573364916,14.31078671,1.87E-31,3.89E-30,60.60422682
ASF1B,2.031688098,4.245534264,14.29687905,2.06E-31,4.25E-30,60.70080278
MYBL2,3.238618912,4.431472133,14.25029765,2.81E-31,5.79E-30,60.2950228
IRAK1,1.092932122,6.765426753,14.2415267,2.98E-31,6.12E-30,59.85170589
DKC1,1.088988611,5.591208235,14.24059416,3.00E-31,6.12E-30,59.81836331
SLC39A11,1.200002765,4.984434738,14.24053106,3.00E-31,6.12E-30,59.87300754
SMYD5,0.81601209,4.933408777,14.23155087,3.19E-31,6.47E-30,59.83476656
B4GALT2,1.111540453,4.920896228,14.2042793,3.83E-31,7.71E-30,59.65806569
SFXN4,1.252841189,5.056309271,14.10157928,7.62E-31,1.50E-29,58.91902588
MCM4,1.893064915,4.717159629,14.09933069,7.74E-31,1.51E-29,59.08298968
POLR2H,1.028023623,5.385915982,14.05886583,1.02E-30,1.98E-29,58.60144529
KPNA2,1.855120324,5.016228639,14.01714498,1.34E-30,2.59E-29,58.36468445
GALNT7,1.435995665,4.537078063,13.9674953,1.88E-30,3.58E-29,58.33312737
PTTG1,1.904041466,4.517369746,13.9310686,2.39E-30,4.52E-29,58.10319639
KDELR3,1.998227798,5.66676658,13.91915682,2.59E-30,4.87E-29,57.66281954
SGPL1,1.035892126,5.438492043,13.90965435,2.76E-30,5.17E-29,57.60026312
CCDC167,1.322617708,6.040030116,13.83033101,4.71E-30,8.69E-29,57.07165782
SERINC2,1.667480455,6.687840869,13.81869185,5.09E-30,9.30E-29,57.01295853
RHNO1,0.975426392,5.12586562,13.80218496,5.69E-30,1.04E-28,56.89596998
ERO1A,1.781081824,5.779438248,13.76794536,7.16E-30,1.29E-28,56.64829155
PLEK2,2.14061155,4.340331468,13.7461451,8.29E-30,1.48E-28,56.97680986
GGCT,1.416086218,5.200304207,13.72551679,9.52E-30,1.70E-28,56.37220323
FEN1,1.453546624,5.092877473,13.69315218,1.18E-29,2.10E-28,56.17044426
PPIL1,1.100278535,5.967965088,13.68711293,1.23E-29,2.18E-28,56.10881458
DAP3,0.894995472,6.158668602,13.54956654,3.11E-29,5.39E-28,55.18985555
CRABP2,4.44399584,6.426274653,13.50918701,4.07E-29,6.98E-28,54.92541225
OLA1,0.938048093,5.326704829,13.50656008,4.15E-29,7.08E-28,54.89608974
H2BC5,2.182390374,5.264548261,13.48927971,4.66E-29,7.90E-28,54.78215247
NARF,1.042062479,4.532657934,13.4798711,4.96E-29,8.39E-28,55.06967411
SHMT2,1.3382153,5.701594455,13.47707966,5.06E-29,8.52E-28,54.69557912
GNL3,1.026162308,6.042938627,13.39873033,8.56E-29,1.43E-27,54.17452763
HDGF,1.014304496,8.170832894,13.39073482,9.03E-29,1.50E-27,54.22012624
NABP2,0.955784048,5.502273393,13.35286622,1.17E-28,1.91E-27,53.86254844
BYSL,1.21729092,5.123332633,13.34394631,1.24E-28,2.02E-27,53.82033156
NSF,0.876256701,5.204039217,13.3208361,1.45E-28,2.33E-27,53.65509635
MRPL9,0.87340547,5.389101824,13.30992568,1.56E-28,2.49E-27,53.57493846
PAK1,1.057783919,5.190564179,13.28405909,1.85E-28,2.93E-27,53.40945487
WDR46,0.80287354,5.738897906,13.22762788,2.70E-28,4.21E-27,53.02071498
TNFRSF21,1.753166513,6.733094277,13.22463502,2.76E-28,4.28E-27,53.02726301
TMPRSS4,3.150438341,3.536534552,13.21716362,2.90E-28,4.49E-27,53.56054048
SLC25A39,1.113177214,6.941315085,13.202558,3.20E-28,4.94E-27,52.88919128
VARS1,1.143911167,5.857047923,13.19795219,3.30E-28,5.07E-27,52.82251327
P3H4,1.78234755,4.534336443,13.13928059,4.90E-28,7.39E-27,52.78578568
ECT2,1.82065268,4.369926801,13.13503552,5.04E-28,7.59E-27,52.86985273
TPI1,1.151018525,9.058063781,13.11309496,5.84E-28,8.67E-27,52.3974025
TIMM17A,0.791799503,5.641663625,13.10600713,6.13E-28,9.07E-27,52.20438222
AURKA,2.060345975,3.929195675,13.04906132,8.98E-28,1.31E-26,52.46646848
RARS1,0.682768978,5.847918661,13.01379432,1.14E-27,1.65E-26,51.58611739
CANT1,0.945339836,6.225225322,13.00556572,1.20E-27,1.73E-26,51.53912015
HM13,0.786492913,6.035353326,13.00264855,1.23E-27,1.76E-26,51.51524613
GART,0.874469528,4.783533327,12.95989589,1.64E-27,2.32E-26,51.39319413
HSPA5,0.857330575,9.339469689,12.93683226,1.91E-27,2.69E-26,51.22892256
CBX3,1.026170645,6.820376507,12.8924167,2.57E-27,3.56E-26,50.80159573
PSMG3,1.303567348,5.507009443,12.88657963,2.68E-27,3.69E-26,50.73239942
XPR1,1.612547651,5.284961964,12.86999616,2.99E-27,4.12E-26,50.6240467
TARS2,0.901261891,4.756357487,12.8686849,3.02E-27,4.15E-26,50.8009631
MARCKSL1,1.817052526,7.963040466,12.85076584,3.41E-27,4.66E-26,50.58634207
BRIX1,1.071914424,4.455375597,12.83999556,3.66E-27,5.00E-26,50.83851936
DDOST,0.764957192,8.208037755,12.83165832,3.87E-27,5.26E-26,50.47026982
B4GALT3,0.887202396,5.480020949,12.77211789,5.78E-27,7.76E-26,49.96461556
CPSF3,0.818139465,5.264573427,12.77179411,5.79E-27,7.76E-26,49.96608963
CALR,0.681453073,9.944793073,12.76757961,5.96E-27,7.96E-26,50.12364346
MCM6,1.410002475,5.078303725,12.73984325,7.18E-27,9.57E-26,49.77521478
MRTO4,0.91496739,5.634039744,12.72576982,7.89E-27,1.05E-25,49.6529084
PDZD11,0.923435257,6.344454073,12.69954208,9.41E-27,1.24E-25,49.48886494
IARS2,0.814272308,6.711520694,12.66353307,1.20E-26,1.56E-25,49.26127457
VPS72,0.866126064,6.481468893,12.65245767,1.29E-26,1.68E-25,49.17744944
SLC35B2,0.973155789,6.577884691,12.64085581,1.40E-26,1.81E-25,49.10339473
GJB2,3.118249361,3.813909717,12.60610719,1.76E-26,2.27E-25,49.53463167
MTX2,0.725868617,5.932625211,12.57129702,2.23E-26,2.83E-25,48.61951841
ACTL6A,0.976277652,5.139054886,12.55572588,2.47E-26,3.13E-25,48.52917326
KAT2A,1.229814892,5.002128704,12.54334781,2.69E-26,3.37E-25,48.4805666
AIMP2,0.945249045,4.507980664,12.53546173,2.83E-26,3.54E-25,48.76225351
CKS1B,1.539066272,4.840857512,12.52067643,3.13E-26,3.87E-25,48.41044695
GPI,1.025662406,6.14372016,12.51590651,3.23E-26,3.98E-25,48.25328819
PDIA6,1.040943461,7.254611213,12.49775582,3.65E-26,4.48E-25,48.17846709
SRPRB,0.995448969,5.63859797,12.4667708,4.49E-26,5.48E-25,47.9168859
TRAF4,1.073638694,5.498067703,12.44589835,5.16E-26,6.27E-25,47.77787297
SOX4,1.58873123,6.696283144,12.42956687,5.76E-26,6.92E-25,47.69284576
KRT80,2.204675026,4.627151777,12.39639758,7.20E-26,8.59E-25,47.73843769
NOL11,0.791822657,5.134287334,12.37613027,8.25E-26,9.80E-25,47.3269497
PFDN6,0.885201528,5.038709117,12.34642806,1.01E-25,1.19E-24,47.15001202
EPRS1,0.917887607,6.527503364,12.33833334,1.06E-25,1.25E-24,47.07486658
ALG3,1.016813542,5.386345274,12.33608554,1.08E-25,1.27E-24,47.04335035
SEC61A1,0.67231258,8.065167477,12.29516449,1.42E-25,1.65E-24,46.8693419
TLCD1,1.472491095,4.916579368,12.29473615,1.42E-25,1.65E-24,46.85417213
SLC52A2,1.207714795,5.378139309,12.28502958,1.52E-25,1.75E-24,46.70176758
MRGBP,0.955411237,4.55922381,12.24779551,1.95E-25,2.24E-24,46.79966699
STK39,1.312230868,5.294531138,12.23656826,2.10E-25,2.40E-24,46.37932572
KIFC1,2.070939576,3.85752321,12.20863313,2.54E-25,2.88E-24,46.89066764
BOP1,1.382842299,5.087388701,12.20479464,2.60E-25,2.95E-24,46.1895359
DTYMK,1.168534271,5.049684419,12.19499833,2.78E-25,3.14E-24,46.13377227
NME4,1.258682943,5.829407008,12.16692798,3.35E-25,3.77E-24,45.91074843
RUSC1,0.973469414,4.665966843,12.16109097,3.49E-25,3.91E-24,46.13454329
PSMD4,0.798310473,7.21178635,12.13433444,4.17E-25,4.66E-24,45.74438004
ESRP1,0.981424588,5.933304206,12.12683819,4.39E-25,4.88E-24,45.6446191
ALG8,0.827967829,5.046192726,12.12681992,4.39E-25,4.88E-24,45.6790692
KDELR2,0.917714846,7.917624927,12.08735676,5.71E-25,6.35E-24,45.47250395
GFPT1,0.99488664,5.746756207,12.06078016,6.83E-25,7.54E-24,45.20076716
CDK1,1.951366122,4.089227127,12.0456929,7.55E-25,8.31E-24,45.74204776
PKM,0.922363955,8.699096701,12.00568843,9.87E-25,1.08E-23,44.96463327
HSPE1,1.103729235,4.770463301,11.99920395,1.03E-24,1.12E-23,44.97248598
DARS1,0.641170391,5.876893356,11.97895759,1.18E-24,1.28E-23,44.65579112
RPN2,0.727235262,8.85928362,11.96109583,1.33E-24,1.44E-23,44.67475067
PRPS2,0.771454988,5.813442419,11.95739271,1.36E-24,1.47E-23,44.51095575
COA4,0.839380692,5.917228224,11.93914016,1.54E-24,1.65E-23,44.39084021
PKP3,1.226851607,5.500637297,11.93554004,1.58E-24,1.69E-23,44.3656473
SLC7A5,2.159306976,5.233658558,11.93372143,1.60E-24,1.70E-23,44.35895172
EIF6,0.797118456,6.852247848,11.93148411,1.62E-24,1.73E-23,44.37072683
PPIF,1.076939854,5.918827413,11.90421486,1.95E-24,2.05E-23,44.15788154
TACO1,0.724138932,4.888614277,11.90399241,1.95E-24,2.05E-23,44.25919727
NECTIN4,1.832536932,4.973412553,11.90172207,1.98E-24,2.08E-23,44.20194535
FHL2,1.999600218,4.222792601,11.89514375,2.07E-24,2.17E-23,44.67883556
KCNN4,2.46072909,4.313164038,11.89011169,2.14E-24,2.24E-23,44.59280895
PYGO2,0.80714588,5.853631588,11.85800121,2.65E-24,2.74E-23,43.84851529
DDX56,0.761302977,5.754984173,11.85087424,2.78E-24,2.86E-23,43.80003289
MRPL36,0.959137904,5.228959357,11.83327512,3.13E-24,3.21E-23,43.68941068
C11orf24,0.854649469,5.306533969,11.8131548,3.58E-24,3.65E-23,43.55178519
PSMD14,0.851899287,4.95582678,11.80836715,3.69E-24,3.76E-23,43.58743992
HNRNPC,0.613701891,7.303772392,11.80705537,3.73E-24,3.79E-23,43.56568843
STIP1,0.819209093,6.799079229,11.80215975,3.85E-24,3.91E-23,43.50585917
TBRG4,0.927247124,4.863573509,11.77795742,4.52E-24,4.58E-23,43.43425838
PROM2,2.009190085,4.498536193,11.7715636,4.72E-24,4.76E-23,43.67342902
METTL1,1.21595604,4.583355675,11.73971183,5.84E-24,5.83E-23,43.39353834
AP1S1,1.088350176,6.464076063,11.66712927,9.48E-24,9.34E-23,42.59224643
PSMB4,0.857986982,8.244290821,11.66019348,9.93E-24,9.77E-23,42.64168167
MMP1,3.472189118,4.240675305,11.63950328,1.14E-23,1.12E-22,42.97262022
DUS1L,0.908810534,5.399851248,11.63148683,1.20E-23,1.17E-22,42.34073305
EIF3B,0.886667893,6.152102393,11.62653234,1.24E-23,1.21E-22,42.31390127
PTGES,2.282873062,4.964364397,11.60649218,1.42E-23,1.38E-22,42.24008938
CNP,0.759980709,5.410102869,11.59069488,1.58E-23,1.52E-22,42.06942192
MTIF2,0.750385295,5.005628278,11.58757762,1.61E-23,1.55E-22,42.0976538
FAM220A,0.85335688,4.781553327,11.5490601,2.08E-23,1.99E-22,41.96775288
RPE,0.745043948,4.989228136,11.52380009,2.46E-23,2.34E-22,41.68010806
TMEM69,0.776068036,5.561120287,11.50195879,2.85E-23,2.70E-22,41.47903187
PARP1,0.920540193,4.918808101,11.49392158,3.01E-23,2.85E-22,41.51445508
HNRNPAB,0.702914856,7.322249369,11.48275222,3.24E-23,3.06E-22,41.41001673
CACYBP,0.858256594,5.556332119,11.46379047,3.68E-23,3.46E-22,41.22568465
OSTC,0.904149614,7.420939996,11.46081276,3.75E-23,3.52E-22,41.27034162
MRPS10,0.782097499,6.183170358,11.44311448,4.22E-23,3.95E-22,41.09622917
MRPL17,0.788180828,5.833109793,11.36625447,7.03E-23,6.50E-22,40.57881795
BUB3,0.700090862,5.004156089,11.35662418,7.50E-23,6.90E-22,40.56546912
LMNB1,1.617605368,4.752941983,11.34888127,7.89E-23,7.23E-22,40.6617455
CLNS1A,0.69523859,5.514837703,11.34551348,8.07E-23,7.37E-22,40.44157054
MRPL15,1.046377785,6.297367326,11.3379995,8.49E-23,7.74E-22,40.4019881
IARS1,0.768123694,5.632210945,11.32781871,9.08E-23,8.24E-22,40.32365094
PIGU,0.753455696,5.138992984,11.31516971,9.88E-23,8.94E-22,40.25648556
TMED2,0.830180266,8.067706466,11.29303056,1.14E-22,1.03E-21,40.19669076
YWHAZ,0.808242122,8.289867036,11.29177311,1.15E-22,1.04E-21,40.19924112
HSP90B1,0.826151706,8.883571815,11.28514185,1.21E-22,1.08E-21,40.18343285
MPZL1,0.655260255,6.274539304,11.25987214,1.43E-22,1.27E-21,39.88412585
CALU,1.00284876,6.98740866,11.2549243,1.47E-22,1.31E-21,39.8813941
TXNDC17,1.398940234,5.482554672,11.22573309,1.79E-22,1.59E-21,39.64876861
CBX4,0.852718671,5.208063279,11.19168232,2.24E-22,1.98E-21,39.43104179
NAXE,1.04937275,7.337131473,11.16770488,2.63E-22,2.30E-21,39.32443014
SMIM15,0.646579886,6.033635408,11.16428528,2.69E-22,2.35E-21,39.24641176
MRPL37,0.723315786,6.232422246,11.15747785,2.81E-22,2.45E-21,39.20607728
LAPTM4B,1.284398787,7.848503585,11.14942017,2.97E-22,2.58E-21,39.23514943
TRIM27,0.65718843,4.957682364,11.14604732,3.03E-22,2.63E-21,39.1917056
MTCH2,0.654376084,6.386593744,11.14234849,3.11E-22,2.69E-21,39.11014298
SEMA4B,1.326359317,5.854401433,11.12693847,3.44E-22,2.97E-21,38.99577682
TUBG1,1.078602218,5.364824558,11.12288822,3.54E-22,3.04E-21,38.97000572
SLC25A13,0.953663397,4.784129134,11.12187011,3.56E-22,3.06E-21,39.137458
SLBP,0.741124383,6.458166725,11.11908599,3.63E-22,3.11E-21,38.95885569
AMZ2,0.606443796,5.449838066,11.11069333,3.83E-22,3.28E-21,38.8887318
MRPL58,0.819205872,5.942611011,11.08194366,4.64E-22,3.96E-21,38.70048009
NIFK,0.795635502,4.939314994,11.08142099,4.65E-22,3.97E-21,38.7738753
NAT9,0.815816069,4.568710238,11.07890751,4.73E-22,4.03E-21,39.02983414
PPM1G,0.728311845,6.725000182,11.07382032,4.89E-22,4.15E-21,38.67141619
SNRNP25,0.908521128,5.170464185,11.07074663,5.00E-22,4.23E-21,38.63636483
CHPF2,0.884511136,5.826611592,11.05894296,5.40E-22,4.55E-21,38.54660798
HPRT1,0.946621066,5.893813161,11.05736776,5.46E-22,4.59E-21,38.53728578
UBFD1,0.829556662,4.682171087,11.04650303,5.87E-22,4.92E-21,38.72097775
PSMC4,0.74037488,6.722579302,10.97473752,9.43E-22,7.83E-21,38.01813944
LAD1,1.614695794,5.744648176,10.94472789,1.15E-21,9.52E-21,37.79330233
HGH1,0.938600772,4.961813913,10.94423493,1.15E-21,9.53E-21,37.85914622
COL1A1,2.777812969,8.511475334,10.94220256,1.17E-21,9.65E-21,37.90228951
FTSJ1,0.63124252,5.442856689,10.94009075,1.19E-21,9.77E-21,37.76406774
SNRPC,0.774575307,7.387180043,10.93795847,1.20E-21,9.89E-21,37.81236651
METAP1,0.637497655,5.407119915,10.93536709,1.22E-21,1.00E-20,37.73323672
RAC3,1.759352633,4.186959871,10.90521178,1.49E-21,1.22E-20,38.16248905
PHLDA2,2.119765253,5.577679251,10.89709797,1.57E-21,1.29E-20,37.4804404
NPLOC4,0.611500965,5.642818276,10.88344659,1.72E-21,1.40E-20,37.39026396
TRAF7,0.702120471,5.877717467,10.88182407,1.74E-21,1.42E-20,37.38083785
GFUS,1.146927954,6.144465219,10.86689735,1.92E-21,1.56E-20,37.28892175
DPH2,0.833936825,4.573500622,10.85206367,2.12E-21,1.72E-20,37.53388022
RRP36,0.611894917,5.83811408,10.85204414,2.12E-21,1.72E-20,37.18444314
FKBP3,0.876473574,5.319695854,10.84996854,2.15E-21,1.74E-20,37.17288105
ST14,1.270519896,7.33522189,10.8417753,2.27E-21,1.83E-20,37.1767584
PREB,0.698550619,5.906747963,10.83732204,2.34E-21,1.88E-20,37.08887461
PFKP,1.682573378,4.999479984,10.81777526,2.66E-21,2.13E-20,37.01189042
DPP3,0.795603273,5.325125607,10.81464568,2.71E-21,2.17E-20,36.94067835
TWF1,0.962624836,5.658830018,10.79268932,3.14E-21,2.49E-20,36.79388563
AHCY,1.044567041,6.645668076,10.78024737,3.40E-21,2.70E-20,36.73583668
SSR4,1.147175865,7.228357847,10.76008965,3.89E-21,3.08E-20,36.63422509
TPBG,1.523380471,4.643463073,10.75981743,3.89E-21,3.08E-20,36.86925415
FAM98A,0.621901137,4.780492559,10.75373223,4.05E-21,3.20E-20,36.7182603
NSUN2,0.908050589,5.434184482,10.75304189,4.07E-21,3.21E-20,36.53497815
CYP24A1,3.438445728,3.396539997,10.74854163,4.19E-21,3.30E-20,37.33343058
TIMP1,1.469783019,9.37786351,10.74587218,4.27E-21,3.35E-20,36.65638931
MTFR1,1.091076703,4.448796027,10.73156528,4.69E-21,3.67E-20,36.84674162
SRM,0.937881272,6.405734544,10.72111295,5.02E-21,3.93E-20,36.33855086
FBXO32,1.670926485,4.173121483,10.71605778,5.19E-21,4.05E-20,36.9331291
PSMD11,0.74391342,5.596959094,10.70543626,5.57E-21,4.34E-20,36.22194072
TOMM70,0.607738166,5.65152405,10.69112311,6.12E-21,4.75E-20,36.12784733
TBL2,0.711836005,4.902948116,10.68628286,6.32E-21,4.90E-20,36.1952996
BUD23,0.69116036,5.112249736,10.68590544,6.33E-21,4.91E-20,36.11503058
NIPSNAP1,0.970158382,5.758587075,10.6839992,6.41E-21,4.96E-20,36.08109751
BLOC1S4,0.730461139,5.032444794,10.66430638,7.30E-21,5.62E-20,35.99434073
MRPL24,1.014424813,6.570641249,10.66401158,7.31E-21,5.62E-20,35.97061253
COL3A1,2.554030268,8.810144322,10.62775792,9.28E-21,7.05E-20,35.85356721
TUBA1C,1.091037812,5.719978332,10.62557842,9.41E-21,7.14E-20,35.69857694
PAIP1,0.71806176,5.883190568,10.62296991,9.58E-21,7.26E-20,35.68306075
NOB1,0.692751513,5.428290045,10.59997508,1.11E-20,8.43E-20,35.5325488
VMP1,1.011738097,6.414242459,10.59320658,1.16E-20,8.77E-20,35.50149405
ALDH1B1,1.041697543,5.145120517,10.58061941,1.26E-20,9.49E-20,35.42071549
CKAP4,1.028105068,6.746165997,10.56116156,1.44E-20,1.08E-19,35.30600561
LRRC20,1.005496468,4.442696593,10.52366341,1.84E-20,1.37E-19,35.49405034
PGAM5,0.898561683,5.156189235,10.51589946,1.93E-20,1.44E-19,34.99642078
ENOPH1,0.615729599,6.135332373,10.49961847,2.15E-20,1.59E-19,34.88312674
LPGAT1,0.975290105,5.042978832,10.49370331,2.24E-20,1.65E-19,34.87614611
CLDN12,1.095454379,4.815036783,10.49000444,2.29E-20,1.69E-19,34.96881208
DOLPP1,0.743170342,4.847002985,10.46636217,2.67E-20,1.96E-19,34.79265073
SLC39A7,0.785608828,7.737948419,10.46339818,2.73E-20,2.00E-19,34.7256993
ENTR1,0.617451237,4.936390271,10.45883623,2.81E-20,2.06E-19,34.69160896
HYOU1,1.045018059,6.184014623,10.45605967,2.86E-20,2.09E-19,34.60019045
TMEM87B,0.638250632,5.252625034,10.45497696,2.88E-20,2.10E-19,34.59004594
SERPINH1,1.0099375,6.790556435,10.43833969,3.21E-20,2.33E-19,34.50692497
FUT8,1.204148512,4.489120045,10.43832645,3.21E-20,2.33E-19,34.90091456
MMP12,3.18045847,4.053248753,10.43794423,3.22E-20,2.33E-19,35.1866287
MDH2,0.713034188,7.324372013,10.43757806,3.23E-20,2.34E-19,34.53149369
DPY30,0.756307846,5.606794818,10.43684111,3.24E-20,2.35E-19,34.46674683
CCT7,0.632497854,7.556149356,10.43557876,3.27E-20,2.36E-19,34.53290234
CDH3,2.350923067,4.783920863,10.43127315,3.36E-20,2.42E-19,34.60873049
STT3A,0.762404941,6.20275164,10.40718175,3.94E-20,2.82E-19,34.28222245
MRPS35,0.830482398,6.677853737,10.3789318,4.74E-20,3.38E-19,34.11468675
TARS1,0.92831361,6.067532798,10.36496322,5.19E-20,3.69E-19,34.00432769
CLTC,0.622602997,7.145715411,10.36381561,5.23E-20,3.71E-19,34.04097367
C19orf48,1.184632799,4.956842512,10.35881229,5.40E-20,3.83E-19,34.0305227
EIF4A3,0.696490173,5.596957339,10.35803599,5.43E-20,3.84E-19,33.95386475
CCDC137,0.851206522,5.106331838,10.34823265,5.79E-20,4.09E-19,33.91247287
GLRX3,0.855149046,5.125125842,10.34658263,5.85E-20,4.13E-19,33.89826839
NDC1,0.970921408,4.510176092,10.3434262,5.98E-20,4.21E-19,34.26674515
PSMA5,0.652292615,5.689679866,10.32247595,6.85E-20,4.80E-19,33.72227549
TSPAN6,1.042941571,5.251957676,10.30979673,7.44E-20,5.19E-19,33.64545884
PAK1IP1,0.824804211,5.38380086,10.30313965,7.77E-20,5.42E-19,33.59846632
POLDIP2,0.574535937,6.965792325,10.2932608,8.29E-20,5.76E-19,33.57256078
EIF3I,0.611444323,5.947965639,10.2919073,8.36E-20,5.80E-19,33.52665423
EBNA1BP2,0.67857679,5.643075942,10.28592254,8.70E-20,6.02E-19,33.48505898
ISG20L2,0.636261369,4.909559948,10.28302612,8.86E-20,6.13E-19,33.56240645
PHB,0.674122452,5.429355182,10.27847625,9.13E-20,6.31E-19,33.4379555
