id	filename	md5	size	state
04778fc1-a821-4029-a383-d88e711f3bee	04778fc1-a821-4029-a383-d88e711f3bee/22cd91fc-54c5-43e0-80ff-19a419298721.rna_seq.augmented_star_gene_counts.tsv	73ae4d4d401efbe058d3bd47d3d22e47	4238174	validated
055fcce9-7448-4a16-ad18-d235dac7ce97	055fcce9-7448-4a16-ad18-d235dac7ce97/b95a1889-2ef5-4da3-b5e9-14b678c4d71a.rna_seq.augmented_star_gene_counts.tsv	e377ff197e805d9c7486d7285f9e12af	4220504	validated
06a639d9-ade5-4cbb-91b0-a41449ce4f49	06a639d9-ade5-4cbb-91b0-a41449ce4f49/6531e137-3d23-44e7-af10-51e9cc517192.rna_seq.augmented_star_gene_counts.tsv	eadaedb72fe4b6116412cf13b59f5c1c	4222257	validated
06d5f913-5f62-4200-8a51-26c8fa2052b4	06d5f913-5f62-4200-8a51-26c8fa2052b4/aae80a97-730b-4180-93de-56ddbb262419.rna_seq.augmented_star_gene_counts.tsv	51b320794dc34b908d9107b6209509b5	4252345	validated
0737eb23-c066-4522-8f5c-dbb4b3b516b0	0737eb23-c066-4522-8f5c-dbb4b3b516b0/a0c9ebdf-951b-4d8d-aa79-3ff1c82342cd.rna_seq.augmented_star_gene_counts.tsv	344cd663e35a9e4746e58f3a92188710	4227073	validated
074b0792-df3c-4b59-9f50-793bc14bcb81	074b0792-df3c-4b59-9f50-793bc14bcb81/d832db0a-348f-4e28-953a-741192fe0826.rna_seq.augmented_star_gene_counts.tsv	14649b13fd8dd13a17a221ee244f9e34	4193934	validated
08971a88-cb64-4030-93e5-08d77d2ed654	08971a88-cb64-4030-93e5-08d77d2ed654/978fb63c-dae9-4037-81c9-598e87341931.rna_seq.augmented_star_gene_counts.tsv	2fc7061fd638f84bc5aee8e89a793661	4243850	validated
08d83462-5fcb-40c6-9d44-dbc42faa4df6	08d83462-5fcb-40c6-9d44-dbc42faa4df6/087c2c93-d071-41e1-a2e8-a1961ba54a86.rna_seq.augmented_star_gene_counts.tsv	7e0d04eb337f163632590bbd665fabaf	4267029	validated
0905662e-ae14-4807-94ef-69db108fa2ee	0905662e-ae14-4807-94ef-69db108fa2ee/e121b871-b177-47ef-a4f1-de73cb338519.rna_seq.augmented_star_gene_counts.tsv	4620c82ab3a9282afb23736a5cf2bedc	4230748	validated
091d2c9e-a8cb-4212-a434-7c7d4fd75f7b	091d2c9e-a8cb-4212-a434-7c7d4fd75f7b/26fdaa75-cea5-4355-b3b1-6b5c2c75e542.rna_seq.augmented_star_gene_counts.tsv	e0a3d0c73a4ecadaaeb67d08afd25ca3	4239205	validated
